date	description	amount	type	pending
2012-11-12	Prel kortköp	"-1 650,69"		
2012-11-12	SJ KUNDBOKNING	"-582,00"		
2012-11-12	Stromma Intern	"-1 109,00"		
2012-11-12	car	"-1 000,00"		
2012-11-02	Aftonbladet.se	"-29,00"		
2012-11-01	LF	"137,00"		
2012-10-29	SATS	"-46,78"		
2012-10-18	NORWEGIAN A 32	"-815,39"		
2012-10-21	SPOTIFY 8 PREM	"-99,00"		
2012-10-22	NLY SCANDINAVI	"39,00"		
2012-10-16	NLY SCANDINAVI	"49,00"		
2012-10-11	NLY SCANDINAV.	"-3 634,00"		
2012-10-09	Bus4you	"-182,14"		
2012-10-03	Aftonbladet.se	"-29,00"		
2012-10-01	LF	"-256,00"		
2012-09-21	SPOTIFY SGRILL	"-99,00"		
2012-09-17	Bus4you	"-854,78"		
2012-09-05	NORWEGIAN A 32	"-270,29"		
2012-09-03	Aftonbladet.se	"-29,00"		
2012-09-04	KORTAVGIFT	"-250,00"		
2012-08-30	Bus4you	"-161,72"		
2012-08-31	Brf Getingen 6	"-3 887,00"		
2012-08-30	SEP SABINA	"5 200,00"		
2012-08-21	SPOTIFY SGRILL	"-99,00"		
2012-08-16	Bus4you	"-192,66"		
2012-08-10	möhippa	"-650,00"		
2012-08-08	SABINA	"15 600,00"		
2012-08-05	Kungalvs Kommu	"-40,00"		
2012-08-04	Aftonbladet.se	"-29,00"		
2012-08-01	LF	"-134,00"		
2012-07-31	Brf Getingen 6	"-3 887,00"		
2012-07-28	WORTOC	"-621,01"		
2012-07-25	LA BANQUE POST	"-687,82"		
2012-07-21	SPOTIFY SGRILL	"-99,00"		
2012-07-14	"17930001, APOT"	"-20,00"		
2012-07-11	Bus4you	"-61,51"		
2012-07-05	Aftonbladet.se	"-29,00"		
2012-07-03	ANDREA	"1 020,00"		
2012-07-02	LF	"-132,00"		
2012-06-29	Brf Getingen 6	"-3 887,00"		
2012-06-26	Aftonbladet.se	"-1,00"		
2012-06-21	SPOTIFY SGRILL	"-99,00"		
2012-06-06	WWW.BANGERHEAD	"-1 811,00"		
2012-06-04	BELLAPRESENT	"160,00"		
2012-06-01	Swebus	"-249,00"		
2012-05-31	Bus4You	"-401,00"		
2012-05-31	Bus4You	"-264,00"		
2012-06-01	LF	"-132,00"		
2012-05-30	Brf Getingen 6	"-3 522,00"		
2012-05-27	HAMMARBYSLUSSE	"-800,00"		
