date	description	amount	type	pending
2012-11-05	Reservation Kortköp	"-919,54"		
2012-11-05	Reservation Kortköp ESPRESSO HOUSE 218	"-33,00"		
2012-11-05	Reservation Kortköp COOP KONSUM DJURSH	"-288,71"		
2012-11-04	Reservation Kortköp BARNKALASET.SE	"-675,00"		
2012-11-04	Reservation Kortköp TAXI STOCKHOLM	"-334,00"		
2012-11-04	Reservation Kortköp ÖSTRA GÖINGE TAXI	"-500,00"		
2012-11-05	Kortköp 121101 HEMKÖP STOCKHOLM MÖR	"-407,42"		
2012-11-05	Kortköp 121101 ÅHLENS	"-603,00"		
2012-11-05	Kortköp 121101 ÅHLENS	"-486,00"		
2012-11-05	Kortköp 121102 SYSTEMBOLAGET JARLAP	"-1.410,00"		
2012-11-05	Kortköp 121102 APPLE ITUNES STORE S	"-147,00"		
2012-11-05	Kortköp 121102 TAXI STOCKHOLM	"-358,00"		
2012-11-05	Kortköp 121102 OSTRA GOINGE TAXI	"-480,00"		
2012-11-05	Kortköp 121102 SJ BISTRO OMBORD	"-90,00"		
2012-11-05	Kortköp 121102 SJ BISTRO OMBORD	"-133,00"		
2012-11-05	Kortköp 121103 APPLE ITUNES STORE S	"-98,00"		
2012-11-05	Betalning PG 4763701-2 SITA Sverige AB	"-487,00"		
2012-11-02	Kortköp 121031 ICA TORNET  STOCKSUN	"-405,80"		
2012-11-01	Kortköp 121030 SATS DANDERYD	"-68,00"		
2012-11-01	Bankomat kl 11.51 121101	"-2.000,00"		
2012-10-31	Bankomat kl 16.07 121031	"-5.000,00"		
2012-10-31	Bankomat kl 16.06 121031	"-5.000,00"		
2012-10-31	Kortköp 121029 STOCKSUNDS WERDSHUS	"-340,00"		
2012-10-31	Kortköp 121027 MORBYBADET 31	"-50,00"		
2012-10-31	Kortköp 121027 MORBYBADET 31	"-40,00"		
2012-10-31	Kortköp 121027 H M 151 TABY	"-1.518,50"		
2012-10-31	Kortköp 121027 JARMEUS	"-1.100,00"		
2012-10-31	Betalning PG 820004-0 TeliaSonera Sver	"-624,00"		
2012-10-31	Betalning PG 820004-0 TeliaSonera Sver	"-676,00"		
2012-10-30	Betalning BG 5798-6317 Danderyds Kommu	"-1.415,00"		
2012-10-30	Kortköp 121028 ICA TORNET  STOCKSUN	"-523,31"		
2012-10-30	Kortköp 121028 SJ KUNDBOKNING INTER	"-3.910,00"		
2012-10-30	Kortköp 121027 MCDONALD S	"-178,00"		
