date	description	amount	type	pending
2012-11-13	Reservation Kortköp SYSTEMBOLAGET	"-269,00"		
2012-11-13	Reservation Kortköp APOTEKET GRIPEN	"-198,00"		
2012-11-08	Reservation Kortköp APPLE ITUNES STORE	"-18,00"		
2012-11-14	Kortköp 121112 Taxi Kurir Stockholm	"-520,00"		
2012-11-14	Kortköp 121109 5141 STREET FOO	"-97,00"		
2012-11-14	Kortköp 121112 HMS HOST	"-280,20"		
2012-11-14	Kortköp 121112 RELAY 373548	"-116,97"		
2012-11-13	Kortköp 121110 LA FABRIC SHOP	"-1.123,76"		
2012-11-12	Kortköp 121110 APPLE ITUNES STORE S	"-28,00"		
2012-11-09	Kortköp 121106 COOP NARA STADION	"-83,25"		
2012-11-08	Beef 3014 00 91262	"-388,00"		
2012-11-07	PUSS	"1.648,00"		
2012-11-07	Kortköp 121105 Pressbyran 8134 Norr	"-200,00"		
2012-11-07	Kortköp 121104 LE CAFe STUREGALLERI	"-60,00"		
2012-11-07	Kortköp 121104 COOP NARA STADION	"-514,35"		
2012-11-06	Kortköp 121103 COOP NARA STADION	"-219,60"		
2012-11-05	Kortköp 121031 PONTUS!	"-95,00"		
2012-11-05	Kortköp 121031 PONTUS!	"-84,00"		
2012-11-05	Kortköp 121101 PROVIANT	"-192,50"		
2012-11-05	Kortköp 121031 ÖSTERMALMS TVÄTTSALO	"-295,00"		
2012-11-05	Kortköp 121102 INTERSPORT SERGEL	"-100,00"		
2012-11-05	Kortköp 121101 COOP NARA STADION	"-155,27"		
2012-11-05	Kortköp 121103 SMC GOKART	"-450,00"		
2012-11-05	Kortköp 121103 SMC GOKART	"-35,00"		
2012-11-05	Kortköp 121103 KONDITORI KUNGSTORNE	"-50,00"		
2012-11-05	Kortköp 121103 BUTTERICKS	"-138,00"		
2012-11-05	Bankomat kl 06.56 121105	"-100,00"		
2012-11-04	"FN Tennistid NILSSON,FREDRIC"	"150,00"		
2012-11-02	Köp TRADE IN SPORTS EURO 141145992	"-400,00"		
2012-11-02	Kortköp 121030 COOP NARA STADION	"-177,55"		
2012-11-02	Kortköp 121030 COOP NARA STADION	"-60,40"		
