date	description	amount	type	pending
2012-08-27	FONDER	-800		
2012-08-27	FOLKBAREN AB/12-08-23	-260		
2012-08-24	GEMENSAMT	-11500		
2012-08-24	LÖN	26386		
2012-08-21	MARKUS KROON	557		
2012-08-20	LANZ CAFE AB/12-08-16	-160		
2012-08-20	LANZ CAFE AB/12-08-16	-80		
2012-08-16	SUSHI HUSET /12-08-15	-75		
2012-08-16	BANTORGET SE/12-08-14	-56		
2012-08-15	OKQ8        /12-08-13	-60		
2012-08-15	BEIRUT CAFE /12-08-14	-70		
2012-08-15	OKQ8        /12-08-13	-15		
2012-08-15	TEXAS BURGER/12-08-13	-120		
2012-08-15	AUT13:05	-2800		
2012-08-15	MARKUS KROON	3000		
2012-08-14	SNABBKÖP    /12-08-13	-200		
2012-08-13	MG 30ÅR	-375		
2012-08-13	SUSHI HUSET /12-08-09	-70		
2012-08-13	REST ABERDEE/12-08-10	-85		
2012-08-09	CAFE FRESCO /12-08-08	-100		
2012-08-09	NYBROPLAN   /12-08-07	-110		
2012-08-08	SYSTRARNA DE/12-08-07	-68		
2012-08-08	HAR 3000 HOT/12-08-07	-345		
2012-08-06	TAXI GBG	-360		
2012-07-31	SJ KUNDBOKNI/12-07-30	-1169		
2012-07-31	SJ KUNDBOKNI/12-07-30	-405		
2012-07-31	ENTERCARD SVERIGE AB	-81.25		
2012-07-30	INS14:36	1500		
2012-07-30	COM HEM AB	-488		
2012-07-30	EUROCARD AB	-7137		
2012-07-27	KAP FÖRSÄKR	-1750		
2012-07-27	52112520695	-1000		
2012-07-27	FONDER	-1700		
2012-07-27	FONDER	-800		
2012-07-27	"MODERNA FÖRSÄKRINGAR, FI"	-1772		
2012-07-27	RADIOTJÄNST I KIRUNA AB	-519		
2012-07-26	GEMENSAMT	-11500		
2012-07-26	COMHEM TVAVG	1005		
2012-07-25	LÖN	29676		
2012-07-24	APOTEK HJÄRT/12-07-22	-222.9		
2012-07-24	ICA DALASTAN/12-07-22	-20.17		
2012-07-24	PRISXTRA I C/12-07-22	-867.55		
2012-07-23	GATE GOURMET/12-07-14	-125		
2012-07-23	AUT14:52	-5700		
2012-07-23	MARKUS KROON	4000		
2012-07-23	MARKUS KROON	3000		
2012-07-17	ARLANDA T5 P/12-07-14	-685		
2012-07-17	NORWEGIAN A /12-07-14	-856.99		
2012-07-16	ICA DALASTAN/12-07-13	-65.8		
2012-07-16	OKQ8        /12-07-12	-78		
2012-07-16	OKQ8        /12-07-12	-15		
2012-07-16	ICA DALASTAN/12-07-12	-29.73		
2012-07-16	HAIRFACE    /12-07-13	-129		
2012-07-16	CLAS OHLSON /12-07-13	-439		
2012-07-16	FORDONSSKATT TRANSPORTST	-80		
2012-07-13	STATOIL ÅKER/12-07-12	-139.51		
2012-07-13	52110140771	-100		
2012-07-11	SHELL AKERSB/12-07-09	-129.02		
2012-07-10	CAFE CLASSIC/12-07-09	-158		
2012-07-10	ICA DALASTAN/12-07-08	-102.99		
2012-07-09	ÅHLENS      /12-07-08	-231		
2012-07-09	ÅHLENS      /12-07-08	-199		
2012-07-09	BAGEL STREET/12-07-08	-180		
2012-07-09	ÅHLENS      /12-07-08	-1198		
2012-07-09	MQ STOCKHOLM/12-07-08	-199		
2012-07-09	GARDIN+OLJEL	1400		
2012-07-06	CLAS OHLSON /12-07-05	-298		
2012-07-06	MAX I LINKOP/12-07-04	-68		
2012-07-06	OMBERGS GOLF/12-07-03	-780		
2012-07-05	STATOIL NORR/12-07-04	-90.61		
2012-07-05	TIME MÄLARHÖ/12-07-04	-200		
2012-07-05	STATOIL LINK/12-07-04	-114.21		
2012-07-04	OMBERGS GOLF/12-07-03	-110		
2012-07-03	OMBERGS GOLF/12-07-02	-25		
2012-07-03	OMBERGS GOLF/12-07-02	-150		
2012-07-02	SPOTIFY MACK/12-07-01	-99		
2012-07-02	HÅR 3000 AB /12-06-29	-345		
2012-07-02	PREEM       /12-06-29	-66.97		
2012-07-02	HEMKÖP ÖSTER/12-06-29	-12.95		
2012-07-02	STATOIL MANT/12-06-29	-207.41		
2012-07-02	PLANET FOOD /12-06-29	-75		
2012-06-29	BENN S MAST /12-06-28	-595		
2012-06-29	RICE        /12-06-28	-99		
2012-06-29	ENTERCARD SVERIGE AB	-5008.21		
2012-06-29	SEB KORT	-6817.64		
2012-06-28	T-JARLEN    /12-06-27	-7.5		
2012-06-28	PRESSBYRAN 8/12-06-27	-96		
2012-06-28	TGI FRIDAY S/12-06-26	-98		
2012-06-28	-KRITA	-5000		
2012-06-28	KRITA	17000		
2012-06-28	COM HEM AB	-488		
2012-06-28	EUROCARD AB	-998		
2012-06-28	CIVILEKONOMERNAS RIKSFÖR	-819		
2012-06-27	T-JARLEN    /12-06-26	-56.88		
2012-06-27	KAP FÖRSÄKR	-1750		
2012-06-27	52112520695	-1000		
2012-06-27	FONDER	-1700		
2012-06-27	FONDER	-800		
2012-06-26	PRESSBYRAN 4/12-06-25	-300		
2012-06-26	WIGGO       /12-06-25	-148		
2012-06-26	GEMENSAMT	-11500		
2012-06-25	EUROFLORIST /12-06-24	-758		
2012-06-25	OGGES SS	-220		
2012-06-25	SYSTEMBOLAGE/12-06-21	-216		
2012-06-25	SHELL 7-11 6/12-06-21	-172.77		
2012-06-25	LÖN	26458		
2012-06-25	MARKUS KROON	1000		
2012-06-21	T-JARLEN    /12-06-20	-18.64		
2012-06-21	MIABI AB    /12-06-20	-170		
2012-06-20	O LEARYS DJU/12-06-19	-400		
2012-06-20	7-ELEVEN 161/12-06-19	-200		
2012-06-20	SUSHI HUSET /12-06-19	-75		
2012-06-20	GRONA LUND  /12-06-19	-398		
2012-06-20	VIGARDA BARB/12-06-18	-125		
2012-06-20	MARION BOWLI/12-06-18	-241		
2012-06-20	STORY HOTEL /12-06-18	-109		
2012-06-19	L10 SOLO  ST/12-06-18	-100		
2012-06-19	MARKUS KROON	1000		
2012-06-18	EXTRA	1279		
2012-06-18	LEBANON MEZA/12-06-15	-95		
2012-06-18	7-ELEVEN 161/12-06-15	-21		
2012-06-18	ICA DALASTAN/12-06-14	-48.58		
2012-06-15	OKQ8        /12-06-13	-273		
2012-06-15	OKQ8        /12-06-13	-78		
2012-06-15	RESTAURANG G/12-06-13	-390		
2012-06-13	SUSHI HUSET /12-06-12	-70		
2012-06-13	CAFE SENSO  /12-06-11	-95		
2012-06-13	COOP KONSUM /12-06-11	-363.7		
2012-06-11	REST CIAO CI/12-06-07	-95		
2012-06-11	SOLO I14    /12-06-08	-129		
2012-06-11	NYA TEMPLE P/12-06-08	-200		
2012-06-11	NYA TEMPLE P/12-06-08	-130		
2012-06-11	SUSHI HUSET /12-06-08	-75		
2012-06-08	MYRORNA     /12-06-07	-30		
2012-06-07	BLOMSTERHAND/12-06-06	-135		
2012-06-07	L09 SOLO  V /12-06-06	-528		
2012-06-07	HAPPY SOCKS /12-06-05	-179		
2012-06-07	BLOMSTERLAND/12-06-05	-137.6		
2012-06-07	SUSHI HUSET /12-06-05	-75		
2012-06-07	CAFE SENSO  /12-06-04	-95		
2012-06-04	SPOTIFY MACK/12-06-01	-99		
2012-06-04	STATOIL JARL/12-06-01	-64		
2012-06-01	BEIRUT CAFE /12-05-31	-140		
2012-06-01	MED HJELMAR AB	-345		
2012-05-31	GEMENSAMT	-1900		
2012-05-31	SUSHI HUSET /12-05-30	-85		
2012-05-31	CENTRALA STUDIESTÖDSNÄMN	-2213		
2012-05-31	ENTERCARD SVERIGE AB	-2000		
2012-05-31	FORDONSSKATT TRANSPORTST	-245		
2012-05-31	SEB KORT	-3000		
2012-05-30	COM HEM AB	-546		
2012-05-29	EUROCARD AB	-725		
2012-05-28	SHELL AUTOMA/12-05-27	-92.73		
2012-05-28	CLAS OHLSON /12-05-26	-32		
2012-05-28	MKRUTLMAJ12	927		
2012-05-28	MKRTRAKMAJ12	3758		
2012-05-28	KHARAZMI MAT/12-05-25	-620		
2012-05-28	MQ STOCKHOLM/12-05-26	-1265		
2012-05-28	AUT14-55	-700		
2012-05-28	MARKUS KROON	620		
2012-05-28	MARKUS KROON	300		
2012-05-28	COMHEM	546		
2012-05-25	GEMENSAMT	-10000		
2012-05-25	KAP FÖRSÄKR	-1750		
2012-05-25	52112520695	-1000		
2012-05-25	FONDER	-1700		
2012-05-25	FONDER	-800		
2012-05-25	LÖN	26422		
2012-05-21	STATOIL NORS/12-05-20	-341		
2012-05-21	MAJGÅRDEN   /12-05-19	-66		
2012-05-21	HEMKÖP ONSAL/12-05-19	-41.5		
2012-05-21	MAJGÅRDEN   /12-05-19	-58		
2012-05-21	ICA FOCUS   /12-05-18	-150		
2012-05-21	CLARION SIGN/12-05-16	-140		
2012-05-18	STATOIL NORS/12-05-17	-90		
2012-05-18	HÅR 3000 AB /12-05-16	-345		
2012-05-18	CLOUD NINE F/12-05-16	-300		
2012-05-16	BEIRUT CAFE /12-05-15	-280		
2012-05-14	RIMINI      /12-05-11	-229.12		
2012-05-14	RIMINI      /12-05-11	-439.9		
2012-05-14	RIMINI      /12-05-11	-641.52		
2012-05-14	RIMINI      /12-05-11	-41.24		
2012-05-11	"MODERNA FÖRSÄKRINGAR, FI"	-2022		
2012-05-10	SCHIPHOL AIR/12-05-09	-32.67		
2012-05-10	COOP KONSUM /12-05-08	-52.9		
2012-05-08	T-JARLEN    /12-05-07	-45		
2012-05-08	LÅN GEMENSAM	2100		
2012-05-07	LE CAF  STUR/12-05-06	-250		
2012-05-07	LE CAF  STUR/12-05-06	-151		
2012-05-07	TYRESÖ GOLF /12-05-05	-350		
2012-05-07	PRESSBYRAN 8/12-05-05	-200		
2012-05-07	SPIS & VIN  /12-05-05	-22		
2012-05-07	SPIS & VIN  /12-05-05	-208		
2012-05-07	WIGGO       /12-05-04	-312		
2012-05-07	TEGNERS GOMS/12-05-03	-160		
2012-05-07	CAFE SENSO  /12-05-03	-95		
2012-05-04	PIZZERIAN   /12-05-03	-190		
2012-05-04	BERNS SALONG/12-05-02	-135		
2012-05-04	SATS SPÅRVAG/12-05-03	-10		
2012-05-03	7-ELEVEN 161/12-05-02	-94		
2012-05-02	SPOTIFY MACK/12-05-01	-99		
2012-05-02	STATOIL SALT/12-05-01	-130.29		
2012-05-02	GBG VARVET	300		
2012-05-02	QSTAR VÄDERS/12-04-29	-151.24		
2012-05-02	OKQ8        /12-04-29	-207.53		
2012-05-02	MCDONALDS BO/12-04-29	-57		
2012-04-30	SHELL 7-11 6/12-04-29	-45		
2012-04-30	BILTEMA JONK/12-04-29	-349		
2012-04-30	STATOIL NORR/12-04-29	-141.94		
2012-04-30	52113105306	-110		
2012-04-30	MARKUS KROON	3000		
2012-04-30	STINAS BAGER/12-04-28	-400		
2012-04-30	SJ KUNDBOKNI/12-04-27	-438		
2012-04-30	SEB KORT	-700		
2012-04-27	TIME MÄLARHÖ/12-04-26	-200		
2012-04-27	STOCKHOLMS M/12-04-26	-4495		
2012-04-27	NYBERGS BAR&/12-04-26	-115		
2012-04-27	MAXI ICA STO/12-04-26	-243		
2012-04-27	52110140771	-3000		
2012-04-27	MT0154184826	-360		
2012-04-27	KAP FÖRSÄKR	-1750		
2012-04-27	52112520695	-1000		
2012-04-27	FONDER	-1700		
2012-04-27	FONDER	-800		
2012-04-27	RADIOTJÄNST I KIRUNA AB	-519		
2012-04-27	COM HEM AB	-517		
2012-04-27	CIVILEKONOMERNAS RIKSFÖR	-819		
2012-04-26	ICA DALASTAN/12-04-24	-119		
2012-04-26	SKATT MUSSE	1936		
2012-04-26	MAT APRIL	700		
2012-04-26	MARKUS KROON	1036		
2012-04-25	CAFE FRESCO /12-04-24	-74		
2012-04-25	GEMENSAMT	-10000		
2012-04-25	LÖN	26368		
2012-04-24	ICA DALASTAN/12-04-22	-80.6		
2012-04-24	SATS SPÅRVAG/12-04-23	-20		
2012-04-23	CLAS OHLSON /12-04-21	-201		
2012-04-23	REST CIAO CI/12-04-20	-330		
