date	description	amount	type	pending
2011-11-19	BAGAREN OCH KO	"-1,292.00"		
2011-11-18	MCDONALD S ALV	-10		
2011-11-18	Pressbyran 883	-112		
2011-11-18	7-Eleven 18122	-18		
2011-11-17	7-Eleven 18122	-218		
2011-11-16	BOT&BATTRING	-100		
2011-11-17	CYKELCITY I ST	-409		
2011-11-14	CAFE MILANO	-95		
2011-11-14	MCDONALD S SLU	-22		
2011-11-10	NEKO SUSHI & W	-99		
2011-11-11	MINI MARKET	-75		
2011-11-11	SYSTEMBOLAGET	-114.4		
2011-11-11	ORTOPEDSERVICE	-900		
2011-11-11	BANKOMAT 11.38	-400		
2011-11-09	RESTAURANG IND	-155		
2011-11-09	7-Eleven 18122	-233		
2011-11-08	BISTRO CREME	-98		
2011-11-08	7-Eleven 18122	-18		
2011-11-07	NESPRESSO BOUT	-355		
2011-11-07	HAMBURGER BORS	-180		
2011-11-07	7-Eleven 18122	-18		
2011-11-06	GINO:S	-149		
2011-11-06	ICA BONDEN	-21.9		
2011-11-04	7-Eleven 18122	-34		
2011-11-04	BOT&BATTRING	-100		
2011-11-06	ICA SUPERMARKE	-121.66		
2011-11-07	GOTHIA FINANCI	-159		
2011-11-03	SPOTIFY ERIKSV	-49		
2011-11-02	SUSHI KAMA	-95		
2011-11-01	FILIPPA K	"1,200.00"		
2011-11-01	CAFE MILANO	-98		
2011-11-02	ORTOPEDSERVICE	-900		
2011-10-28	PRAMEN CATERIN	-115		
2011-10-28	SYSTEMBOLAGET	-76		
2011-10-31	AKADEMIKERFÖRS	-67		
2011-10-27	BADMINTONSTADI	-35		
2011-10-27	STADIUM 110 K1	-49		
2011-10-28	UNICEF	-200		
2011-10-25	TRANAN RESTAUR	-278		
2011-10-26	FOLKUNGA SUSHI	-95		
2011-10-25	7-Eleven 18122	-32.92		
2011-10-24	7-Eleven 18122	-41		
2011-10-18	COOP KONSUM SL	-72		
2011-10-25	gem. konto	"-10,000.00"		
2011-10-25	fondspar	"-1,000.00"		
2011-10-23	FILIPPA K BRUN	"-4,900.00"		
2011-10-21	HAMBURGER BORS	-95		
2011-10-23	IL CAFFE	-210		
2011-10-23	FRISKIS SVETT	-20		
2011-10-22	7-Eleven 20123	-58		
2011-10-24	BANKOMAT 12.22	-500		
2011-10-19	MCDONALD S HAM	-83		
2011-10-21		900		
2011-10-18	FOTOSLUSSEN	-149		
2011-10-18	COOP KONSUM SL	-72		
2011-10-20	spara	"-30,000.00"		
2011-10-18	COOP KONSUM SL	72		
2011-10-17	HAMBURGER BORS	-88		
2011-10-14	BOT&BATTRING	-100		
2011-10-13	BORGGAARDEN RE	-120		
2011-10-17		858		
2011-10-17		"-5,535.00"		
2011-10-13	7-Eleven 18122	-222		
2011-10-12	RESTAURANG ATR	-110		
2011-10-12	REST THE BULL	-343		
2011-10-12	GLOBAL EATERTA	-20		
2011-10-12	7-Eleven 16125	-6		
2011-10-11	TICNET.SE	-970		
2011-10-08	APPLE ITUNES S	-49		
2011-10-06	PIAZZA FIORE	-98		
2011-10-05	P2 WOK	-75		
2011-10-04	7-Eleven 16125	-62		
2011-10-03	SPOTIFY ERIKSV	-49		
2011-10-03	CAFE CREME	-109		
2011-09-30	MAX STOCKHOLM	-59		
2011-10-01	ORONTES	-65		
2011-09-30	AKADEMIKERFÖRS	-67		
2011-09-27	COOP NARA NYTO	-45.4		
2011-09-27	NK RESTAURANGE	-84		
2011-09-27	ELGIGANTEN STO	-858		
2011-09-26	NEKO SUSHI & W	-89		
2011-09-28	UNICEF	-200		
2011-09-26	NILSON SHOES	"1,199.00"		
2011-09-27	AKADEMIKERFÖRS	-67		
2011-09-23	NILSON SHOES	"-1,684.00"		
2011-09-25	BROD & SALT	-29		
2011-09-25	BADMINTONSTADI	-165		
2011-09-23	PONTUS!	-308		
2011-09-23	NILSON SHOES	"-1,199.00"		
2011-09-22	PIAZZA FIORE	-98		
2011-09-26	gem. konto	"-10,000.00"		
2011-09-26	fondspar	"-1,000.00"		
2011-09-19	654736	"-1,000.00"		
2011-09-15	REST NEW PEKIN	-99		
2011-09-17	STATOIL NORRTA	-70		
